Hmax[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.3	1	30	20	90	0.7953	108.0491844	20	20.41284999	99.59477125	218.2412325	20.47757337	83.27488889	7.16509146	0.8979	696.8852847
1.3	1	30	20	90	0.9942	144.349315	20	20.10626131	-26.74740224	130.7101806	34.19595654	83.27488889	-1.92427354	-0.2315	565.5655173
1.3	1	30	20	100	0.1988	19.02445271	20	20.86374952	51.04293488	115.7998261	0.91287081	91.96	3.67215359	0.5287	1634.485198
1.3	1	30	20	100	0.3977	41.05816915	20	20.72833815	97.58254286	183.6762501	3.940043	91.96	7.02032682	0.9481	1666.549018
1.3	1	30	20	100	0.5965	66.10116666	20	20.56810731	110.4332662	218.6935503	9.51441171	91.96	7.94483929	1.0093	1586.605945
1.3	1	30	20	100	0.7953	94.15347069	20	20.35065451	67.35573554	203.7764885	18.06892077	91.96	4.84573637	0.5863	1509.489618
1.3	1	30	20	100	0.9942	125.2151056	20	20.05397743	-59.79220734	112.7532923	30.03654309	91.96	-4.30159765	-0.508	1448.129583
1.3	2	0	50	60	0.1988	75.84387338	20	21.09882725	181.1020636	241.1160688	7.21223983	55.176	13.02892544	2.4013	395.2883031
1.3	2	0	50	60	0.3977	185.4339739	20	20.93544885	283.3377195	435.763731	35.26096306	55.176	20.3840086	2.5567	446.0344576
1.3	2	0	50	60	0.5965	328.7725832	20	20.69234784	248.8937453	550.0442586	93.76710471	55.176	17.90602484	1.4917	388.1954897
1.3	2	0	50	60	0.7953	505.8607496	20	20.37042851	21.56452629	549.7161597	192.3529171	55.176	1.55140477	0.0866	257.6224146
1.3	2	0	50	60	0.9942	716.6989858	20	19.95404531	-470.1407687	385.2944835	340.6410215	55.176	-33.82307689	-1.2988	76.61898909
1.3	2	0	50	70	0.1988	62.85244651	20	21.12256505	183.8473081	248.0718645	5.98451218	64.372	13.22642505	2.1996	496.9475699
1.3	2	0	50	70	0.3977	150.4651998	20	20.97402858	301.6077473	448.0884122	28.64898802	64.372	21.69839908	2.6291	565.4091353
1.3	2	0	50	70	0.5965	262.8396808	20	20.75307372	299.3016611	570.6222957	75.06178111	64.372	21.53249361	1.8594	514.219782
1.3	2	0	50	70	0.7953	399.9766169	20	20.45531585	123.257742	579.072255	152.2922165	64.372	8.86746345	0.5465	389.9107575
1.3	2	0	50	70	0.9942	561.8763903	20	20.06420867	-295.0726814	421.4679195	267.4099253	64.372	-21.22825046	-0.9502	215.4778023
