f[Hz],H[mm],H_max[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
2,20,1.4,0.9942,325.7613467,20,355.3625481,888.4589369,312.6102643,91.96,25.56565094,0.8262
2,25,0.9,0.1988,41.08011652,20,70.43606927,120.5748304,9.85996669,91.96,5.06734311,0.659
2,25,0.9,0.3977,94.19589525,20,82.64091884,195.9583254,45.20886961,91.96,5.94538984,0.5774
2,25,0.9,0.5965,159.3477262,20,-6.63196845,203.6834762,114.703131,91.96,-0.47712003,-0.0322
2,25,0.9,0.7953,236.53609,20,-249.2859309,101.9281796,227.0012837,91.96,-17.93423963,-0.8281
2,25,0.9,0.9942,325.7613467,20,-721.1541881,-175.1510826,390.7628304,91.96,-51.88159627,-1.6738
2,25,1,0.1988,41.08011652,20,118.5183073,175.5209915,9.85996669,91.96,8.52649693,1.0741
2,25,1,0.3977,94.19589525,20,183.1414908,308.6673996,45.20886961,91.96,13.17564682,1.2181
2,25,1,0.5965,159.3477262,20,149.0496253,376.748347,114.703131,91.96,10.72299463,0.6856
2,25,1,0.7953,236.53609,20,-36.9332948,336.5475154,227.0012837,91.96,-2.65707157,-0.1168
